question,context,answer
What documents do I need to enter the U.S.?,"You will need your valid passport with the F-1 visa, the original I-20 form signed by you and the university official, and your SEVIS fee receipt. It's a good idea to have these readily accessible.","Bring your passport, F-1 visa, the original I-20 form, and your SEVIS fee receipt."
¿Cómo es el proceso de admisión?,"El proceso de admisión implica elegir una universidad, pagar la tarifa de solicitud no reembolsable y enviar todos los documentos necesarios, como expedientes académicos y puntajes de exámenes. Algunas universidades también piden un ensayo o cartas de recomendación.",Debes pagar una tarifa de solicitud y enviar tus documentos académicos para ser considerado por la universidad.
¿Qué es la 'Prueba de Fondos'?,"Son documentos financieros que presentas a la universidad, como un estado de cuenta bancario a tu nombre o el de un patrocinador, para probar que tienes suficiente dinero para pagar el primer año de estudios y manutención. Es un requisito para obtener tu I-20.",Debes presentar documentos bancarios o de becas que demuestren que tienes los fondos para cubrir tus gastos de estudio.
¿Para qué sirve el formulario I-20?,El formulario I-20 es emitido por la universidad y es necesario para pagar la tarifa SEVIS y solicitar tu visa de estudiante F-1. Confirma tu aceptación y tu elegibilidad legal para obtener la visa.,Es el documento oficial de la universidad que necesitas para poder solicitar tu visa F-1.
¿Cómo se obtiene la visa F-1?,"Después de tener tu I-20, debes pagar la tarifa SEVIS, completar la solicitud de visa DS-160 en línea y asistir a una entrevista en la embajada o consulado de EE.UU. en tu país. Necesitarás el I-20 y la prueba de fondos para la entrevista.","Pagas la tarifa SEVIS, llenas el formulario DS-160 y asistes a una entrevista en la embajada con todos tus documentos."
¿Con cuánto tiempo de anticipación puedo llegar a EE.UU.?,Las regulaciones de la visa F-1 establecen que puedes entrar a EE.UU. un máximo de 30 días antes de la fecha de inicio de tu programa que aparece en tu formulario I-20. No se permite llegar antes.,Puedes llegar a EE.UU. como máximo 30 días antes de la fecha de inicio de clases en tu I-20.
¿Qué debo hacer al llegar a la universidad?,"Al llegar, es obligatorio que te registres en la oficina de servicios para estudiantes internacionales en un proceso llamado 'check-in'. Allí verifican tus documentos (pasaporte, visa, I-20) y registran tu llegada en el sistema SEVIS, lo cual es vital para mantener tu estatus legal.",Debes registrarte en la oficina de estudiantes internacionales para validar tu llegada y tu estatus legal como estudiante.
¿Qué documentos necesito para entrar a EE.UU.?,"Necesitarás tu pasaporte con la visa F-1, el formulario I-20 original firmado por ti y la universidad, y el recibo del pago de la tarifa SEVIS. Es recomendable tenerlos a mano durante el vuelo y al pasar por inmigración.","Lleva contigo tu pasaporte, la visa F-1, el formulario I-20 original y el recibo de la tarifa SEVIS."
What is the difference between a master’s thesis and a master’s project?,"A master's thesis is an extensive research paper on a specific topic, typically requiring original research. A master's project is a more practical, application-based assignment, often involving the creation of a product or report for a real-world problem.","A thesis is a deep research paper, while a project is a more practical, hands-on assignment."
How do I renew my F-1 student visa?,An F-1 visa cannot be renewed within the U.S. You must apply for a new visa at a U.S. embassy or consulate abroad. This usually happens when you are traveling to your home country and your visa has expired but your I-20 is still valid.,"You must apply for a new visa at a U.S. embassy or consulate outside the U.S., typically when you travel to your home country."
What are the rules for driving with a foreign license?,"The rules vary by state. In many states, you can use your foreign driver's license for a limited period, usually up to one year, after you arrive. You should always carry an International Driving Permit along with your license.","The rules depend on the state. You can often use your foreign license for a limited time, but it's best to check with the DMV in your state."
How do I get a student discount?,"Many companies offer discounts for students. You can get discounts for software, public transportation, and movie tickets by showing your student ID card or using your university email address to verify your status.",You can get student discounts by showing your university ID or using your student email for verification.
What is the role of a professor's 'TA' (Teaching Assistant)?,"A TA is a graduate student who helps a professor with teaching duties. They might lead discussion sessions, grade assignments, hold office hours, or assist in a lab. They are a valuable resource for academic help.","A TA is a graduate student who assists a professor with teaching, grading, and holding office hours for students."
How do I apply for an I-20 Program Extension?,"If you are an F-1 student and need more time to complete your degree, you must apply for a program extension with your international student advisor before your I-20 expires. This is done by submitting a new I-20 application with a letter from your academic advisor.",You must submit an application and a letter from your academic advisor to your international student office before your I-20 expires.
How do I apply for CPT?,"To apply for Curricular Practical Training (CPT), you must have been a full-time student for at least one academic year, have a job offer directly related to your major, and get approval from your academic advisor and the international student office.",You need a job offer related to your major and approval from your academic advisor and international student office.
How do I apply for a Social Security Number?,"To apply for an SSN, you must have a valid job offer, either on-campus or authorized CPT/OPT. You must then visit a Social Security office with your passport, I-20, visa, and a letter from your employer.",You can apply at a Social Security office after getting a job offer. You'll need your immigration documents and a letter from your employer.
How do I apply for Post-Completion OPT?,"To apply for Optional Practical Training (OPT), you must be in your final semester. The application is submitted to USCIS and requires a recommendation from your international student advisor. You can apply up to 90 days before and 60 days after your program end date.",You must apply to USCIS with a recommendation from your international student advisor during your final semester.
How do I apply for STEM OPT?,"The STEM OPT extension is a 24-month work authorization for F-1 students who have a degree in a qualifying STEM field. You must be on your initial OPT and apply to USCIS before it expires, with a training plan (Form I-983) and a new I-20.","If you have a STEM degree, you can apply for an additional 24-month OPT extension by submitting a Form I-983 and other documents to USCIS."
How do I report my OPT/STEM OPT employment information?,"You are required to report any employment changes, including new jobs, loss of employment, or a change in address, to your university’s international student office. This is typically done through an online portal to keep your SEVIS record up to date.",You must report all changes in your employment status and address through the portal of your university’s international student office.
How do I drop below full-time enrollment?,"F-1 students must maintain a full-time enrollment status. Dropping below full-time is only allowed in specific, approved circumstances, such as for a documented medical condition or during your final semester. You must get prior authorization from your international student advisor.","You must get approval from your international student advisor to drop below full-time, and it's only allowed in specific circumstances."
How do I transfer out to another school?,"To transfer to a new school, you must first be accepted by the new institution. Then, you need to inform your current international student advisor so they can transfer your SEVIS record to the new school. You must start your new program within 5 months of leaving your previous school.",You must get accepted to a new school and then notify your current university's international student office to transfer your SEVIS record.
How do I get a travel signature?,A travel signature is a required endorsement on your I-20 form from your international student advisor that confirms your student status is valid. This signature is required to re-enter the U.S. after traveling abroad. The signature is valid for 12 months for students on a regular program and 6 months for students on OPT.,You need to get a signature on your I-20 from your international student advisor before you travel outside the U.S.
What does 'In Status' mean for an F-1 student?,"Being 'In Status' means following all immigration laws and visa regulations. This includes maintaining full-time enrollment, having proper authorization for work, and keeping all documents current. Breaking these rules can put you 'Out of Status,' which has serious consequences.",It means you are following all immigration laws and visa regulations to maintain your legal student status.
What are the full-time enrollment requirements?,F-1 undergraduate students must be enrolled in at least 12 credit hours. Graduate students must be enrolled in at least 9 credit hours. Only one 3-credit hour online course can count towards full-time enrollment.,"Undergraduates need 12 credit hours, and graduates need 9 credit hours. Only one online course counts towards full-time status."
Can I drop a class if I'm failing?,"No, failing a class is not a valid reason to drop it if it would cause you to fall below full-time enrollment. You must maintain full-time status unless you have specific authorization from your immigration advisor.","No, you cannot drop a class if it would put you below full-time enrollment. You must always maintain full-time status unless you have an approved exception."
What are the rules for working on campus?,"F-1 students can work on campus for up to 20 hours per week while classes are in session. This employment does not require special authorization from a government agency. However, a Social Security Number is needed for payment.",You can work on campus up to 20 hours a week without special government authorization. You will need a Social Security Number to get paid.
How do I ensure my immigration documents are current?,You must ensure all your documents are valid. Your passport must be valid for at least 6 months when entering the U.S. Your I-20 must be current and renewed before its expiration date. You should also keep a copy of your I-94 record.,"You must check the expiration dates of your passport and I-20. If they are expiring soon, you should take the necessary steps to renew them."
What is the purpose of the visa sticker in my passport?,"The visa sticker's sole purpose is to allow you to enter the United States. Once you are in the U.S., your I-20 and I-94 determine your legal status. An expired visa does not affect your legal status inside the U.S. if your I-20 is still valid.",The visa sticker is only for entering the U.S. Your legal status while inside the country is determined by your I-20 and I-94.
What is the I-94 record?,The I-94 record is an electronic document that confirms your legal entry into the U.S. and indicates your immigration status. You can retrieve and print your I-94 from the CBP website (cbp.gov/I94) to use for other processes like getting a driver's license.,It is an electronic record that proves your legal entry into the U.S. You can find it on the CBP website.
¿Qué significa 'In Status' para un estudiante F-1?,"Estar 'In Status' significa cumplir con todas las leyes de inmigración y regulaciones de visa. Esto incluye mantener la matrícula a tiempo completo, tener la autorización adecuada para trabajar y mantener todos los documentos vigentes. Romper estas reglas puede ponerte 'Out of Status', lo que tiene graves consecuencias.",Significa que estás cumpliendo con todas las leyes de inmigración y regulaciones para mantener tu estatus legal de estudiante.
¿Cuáles son los requisitos de matrícula a tiempo completo?,Los estudiantes de pregrado F-1 deben estar matriculados en al menos 12 horas de crédito. Los estudiantes de posgrado deben estar matriculados en al menos 9 horas de crédito. Solo un curso en línea de 3 horas de crédito puede contar para la matrícula a tiempo completo.,Los de pregrado necesitan 12 horas de crédito y los de posgrado necesitan 9 horas de crédito. Solo un curso en línea cuenta para el estatus de tiempo completo.
¿Puedo dar de baja una clase si estoy reprobando?,"No, reprobar una clase no es una razón válida para darla de baja si esto te haría bajar de la matrícula a tiempo completo. Debes mantener tu estatus de tiempo completo a menos que tengas una autorización específica de tu asesor de inmigración.","No, no puedes dar de baja una clase si te hace caer por debajo de la matrícula a tiempo completo. Debes mantener siempre tu estatus de tiempo completo, a menos que tengas una excepción aprobada."
¿Cuáles son las reglas para trabajar en el campus?,"Los estudiantes F-1 pueden trabajar en el campus hasta 20 horas por semana mientras las clases están en sesión. Este empleo no requiere una autorización especial de una agencia gubernamental. Sin embargo, se necesita un Número de Seguro Social para recibir el pago.",Puedes trabajar en el campus hasta 20 horas a la semana sin una autorización especial del gobierno. Necesitarás un Número de Seguro Social para que te paguen.
¿Cómo me aseguro de que mis documentos de inmigración estén vigentes?,Debes asegurarte de que todos tus documentos sean válidos. Tu pasaporte debe tener una validez de al menos 6 meses al entrar a EE.UU. Tu I-20 debe estar al día y renovado antes de su fecha de vencimiento. También debes guardar una copia de tu registro I-94.,"Debes revisar las fechas de vencimiento de tu pasaporte y tu I-20. Si van a vencer pronto, debes tomar las medidas necesarias para renovarlos."
¿Cuál es el propósito de la etiqueta de la visa en mi pasaporte?,"El único propósito de la etiqueta de la visa es permitirte entrar a los Estados Unidos. Una vez que estás en EE.UU., tu I-20 y tu I-94 determinan tu estatus legal. Una visa vencida no afecta tu estatus legal dentro de EE.UU. si tu I-20 sigue siendo válido.",La etiqueta de la visa es solo para entrar a EE.UU. Tu estatus legal dentro del país lo determinan tu I-20 y tu I-94.
¿Qué es el registro I-94?,El registro I-94 es un documento electrónico que confirma tu entrada legal a EE.UU. e indica tu estatus de inmigración. Puedes recuperar e imprimir tu I-94 del sitio web de la CBP (cbp.gov/I94) para usarlo en otros procesos como obtener una licencia de conducir.,Es un registro electrónico que prueba tu entrada legal a EE.UU. Lo puedes encontrar en el sitio web de la CBP.
Where can I apply for a U.S. visa?,Applications for F or J visas must be made at U.S. consulates outside the U.S. It is not possible to apply for an F or J visa inside the U.S. It's best to apply at the U.S. consulate in your home country. You should check the specific procedures and wait times at the consulate where you will apply.,"You must apply at a U.S. consulate or embassy outside the U.S., preferably in your home country."
What is the SEVIS fee and where do I pay it?,The SEVIS fee is a mandatory payment (around $220-350) for F and J visas. You must pay it before your visa interview. The official website for payment is https://www.fmjfee.com/i901fee/. Do not use any unofficial websites.,"It is a mandatory fee for F and J visas, which you pay on the official website: fmjfee.com."
What documents should I prepare for my visa interview?,"You should bring financial documents (bank statements, property deeds), a job offer letter for your return home, and be prepared to explain your post-graduation plans. You will also need your DS-160 application and other standard documents.","Bring financial documents, proof of ties to your home country, and be ready to explain your plans after graduation."
"Why might my visa be denied, and what can I do?","Visas can be denied for various reasons, with a common one being insufficient 'non-immigrant intent.' The denial letter will explain the legal basis, but you should listen carefully to the officer's explanation. You can re-apply if you can provide new documentation to address the reason for the denial.",A visa can be denied for reasons like 'insufficient non-immigrant intent.' You can re-apply if you can provide new documentation to address the issue.
What should I do upon entering the U.S.?,"When entering, you must present your passport, valid visa stamp, and I-20 or DS-2019. If you are on OPT, you must also have your EAD card. It's crucial to check your documents (I-94, visa status) before leaving the CBP official to ensure everything is correct.","Present your passport, visa, and I-20. On OPT, you must also have your EAD card and job offer. Check your I-94 record to ensure it's correct."
What are the travel requirements for continuing students?,"F-1 students and their dependents need a travel signature on their I-20 valid for 1 year. J-1 students need an endorsed DS-2019. Your passport must be valid for at least 6 months into the future upon entry. If on OPT, your I-20 signature must be less than 6 months old and you need your EAD card and an employment letter.","You need a valid travel signature on your I-20 or DS-2019. Your passport must be valid for 6 months. If on OPT, your EAD card and employment letter are also required."
How do I document a musical instrument for travel?,It is recommended to complete CBP Form 4457 for each instrument. You should have the form stamped at a U.S. Customs Office before departing the U.S. to document proof of ownership and avoid confiscation of items with banned materials.,Fill out CBP Form 4457 for each instrument and have it stamped by a U.S. Customs Office before you leave the country.
¿Dónde puedo solicitar una visa de EE.UU.?,"Las solicitudes para visas F o J deben hacerse en consulados de EE.UU. fuera del país. No es posible solicitar una visa F o J dentro de EE.UU. Es mejor solicitarla en el consulado de tu país de origen, y debes revisar sus procedimientos y tiempos de espera específicos.","Debes solicitarla en un consulado o embajada de EE.UU. fuera del país, preferiblemente en tu país de origen."
¿Qué es la tarifa SEVIS y dónde la pago?,La tarifa SEVIS es un pago obligatorio (alrededor de $220-350) para visas F y J. Debes pagarla antes de tu entrevista de visa. El sitio web oficial para el pago es https://www.fmjfee.com/i901fee/. No uses sitios no oficiales.,"Es un pago obligatorio para las visas F y J, que se paga en el sitio web oficial: fmjfee.com."
¿Qué documentos debo preparar para la entrevista de visa?,"Debes llevar documentos financieros (estados de cuenta, escrituras de propiedades), una carta de oferta de trabajo para tu regreso a casa y estar preparado para explicar tus planes después de graduarte. También necesitarás tu solicitud DS-160 y otros documentos estándar.","Lleva documentos financieros, pruebas de lazos con tu país de origen y prepárate para explicar tus planes después de graduarte."
¿Por qué podrían negarme la visa y qué puedo hacer?,"Las visas pueden ser negadas por varias razones, una común es la intención de 'no-inmigrante' insuficiente. La carta de negación te dará la base legal, pero debes escuchar la explicación del oficial. Puedes volver a solicitar si proporcionas nueva documentación para abordar el problema.",La visa puede ser negada por 'intención de no-inmigrante' insuficiente. Puedes volver a solicitarla si aportas nueva documentación para resolver el problema.
¿Qué debo hacer al entrar a EE.UU.?,"Al entrar, debes presentar tu pasaporte, la visa válida y tu I-20 o DS-2019. Si estás en OPT, también debes tener tu tarjeta EAD. Es crucial revisar tus documentos (I-94, estatus de visa) antes de dejar al oficial del CBP para asegurarte de que todo esté correcto.","Presenta tu pasaporte, visa e I-20. En OPT, debes tener también tu tarjeta EAD y una carta de oferta de empleo. Revisa tu registro I-94 para que sea correcto."
¿Qué requisitos de viaje tienen los estudiantes que continúan?,"Los estudiantes F-1 y sus dependientes necesitan una firma de viaje en su I-20 válida por 1 año. Los estudiantes J-1 necesitan un DS-2019 endosado. Tu pasaporte debe ser válido por al menos 6 meses. Si estás en OPT, tu firma en el I-20 debe tener menos de 6 meses y necesitas tu tarjeta EAD y una carta de empleo.","Necesitas una firma de viaje válida en tu I-20 o DS-2019. Tu pasaporte debe ser válido por 6 meses. Si estás en OPT, también se requiere tu tarjeta EAD y una carta de empleo."
¿Cómo documento un instrumento musical para viajar?,Se recomienda completar el Formulario 4457 del CBP para cada instrumento. Debes sellar el formulario en una Oficina de Aduanas de EE.UU. antes de salir del país para documentar la prueba de propiedad y evitar la confiscación de artículos con materiales prohibidos.,Rellena el Formulario 4457 del CBP para cada instrumento y hazlo sellar en una Oficina de Aduanas de EE.UU. antes de salir del país.
Can I travel on a tourist visa to study in the U.S.?,"You cannot travel on a tourist visa (B visa) to study for a degree or academic certificate. The only exception is for short, recreational courses not for credit. For any academic program, you must have a student (F or M) visa.","No, you must have a student visa (F or M) to study for a degree. A tourist visa is only for short, recreational study."
What is SEVP and how do I apply for a student visa?,"SEVP stands for Student and Exchange Visitor Program. The first step is to be accepted by a SEVP-approved school. The school will then issue you a Form I-20 and register you in the SEVIS system. After you receive your I-20, you can apply for a visa at a U.S. Embassy or Consulate.","You must first be accepted by a SEVP-approved school, get an I-20, and then apply for your visa at a U.S. Embassy or Consulate."
What documents do I need for my visa interview?,"You need to gather several documents for your interview, including a passport valid for at least six months, the Form DS-160 confirmation page, and your Form I-20. You may also need to show proof of your academic preparation and financial ability to pay for your studies.","You need your valid passport, the DS-160 confirmation page, and your I-20. You may also be asked for academic and financial documents."
When can I enter the U.S. with my student visa?,"New students with an F or M visa can enter the U.S. no more than 30 days before the program start date listed on their I-20. Continuing students can enter at any time before classes begin, as long as they are currently enrolled and have a valid visa.",New students can enter up to 30 days before their program starts. Continuing students can enter at any time before classes begin.
What happens after my visa is approved?,"A visa does not guarantee entry into the U.S. It only allows you to travel to a port-of-entry and request permission to enter. A CBP official at the port-of-entry will make the final decision. Once admitted, you will be given an admission stamp or an electronic I-94 record.","After approval, you can travel to a U.S. port-of-entry where a CBP official will make the final decision to grant you admission."
How can I extend my stay in the U.S.?,"If you are a student with an F visa, you must depart the U.S. within 60 days after the program end date on your I-20, including any authorized practical training. You can request an extension through the USCIS website. Failing to depart on time will put you out of status and void your visa.",You must depart within 60 days after your program ends unless you get an approved extension through USCIS.
What if my passport expires but my visa is still valid?,"A valid visa in an expired passport is still valid. Do not remove the visa from the expired passport. For travel and admission to the U.S., you must present both the expired passport with the valid visa and your new, valid passport.",Your visa is still valid. You must travel with both your expired passport (with the valid visa) and your new passport.
